model,experiment,experiment_name,dataset,checkpoint_path,checkpoint_epoch,checkpoint_best_acc,device_type,profile,dynamic_range,n_states,sigma_c2c,sigma_d2d,source,analysis_type,amp_enabled,eval_runs,test_loss_mean,test_acc_mean,test_acc_min,test_acc_max,test_acc_std,G_min,G_max,noise_mode,profile_kind,tau_1,tau_2,A_0,NL_LTP,NL_LTD,d2d_instance_policy,transfer_definition
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94,Organic OPECT,Organic OPECT,10.0,16,0.05,0.1,Guo 2024 / handbook §2.1,device_comparison,True,10,5.414092286987304,10.0,10.0,10.0,0.0,,,,,,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94,RRAM (HfOx),RRAM (HfOx),100.0,64,0.02,0.05,Alibart 2016; Prezioso 2015,device_comparison,True,10,6.973277279586792,10.0,10.0,10.0,0.0,,,,,,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94,PCM (GST),PCM (GST),50.0,32,0.03,0.08,Burr 2015; Ambrogio 2018,device_comparison,True,10,6.5272656774902345,10.0,10.0,10.0,0.0,,,,,,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94,Organic Pessimistic,Organic Pessimistic,5.0,8,0.1,0.2,handbook pessimistic,device_comparison,True,10,3.0345155670166015,10.038,9.74,10.4,0.2231989645535521,,,,,,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94,Ideal,Ideal,10.0,256,0.0,0.0,theoretical upper bound,device_comparison,True,10,6.750245397033692,10.0,10.0,10.0,0.0,,,,,,,,,,,
convnext,C4,C4_4bit_noise_HAT,cifar10,checkpoints/C4_4bit_noise_HAT_best.pt,197,89.91,Organic OPECT,Organic OPECT,10.0,16,0.05,0.1,Guo 2024 / handbook §2.1,device_comparison,True,10,1.3741812300300598,71.605,71.1,72.25,0.3747665940288708,,,,,,,,,,,
convnext,C4,C4_4bit_noise_HAT,cifar10,checkpoints/C4_4bit_noise_HAT_best.pt,197,89.91,RRAM (HfOx),RRAM (HfOx),100.0,64,0.02,0.05,Alibart 2016; Prezioso 2015,device_comparison,True,10,nan,10.0,10.0,10.0,0.0,,,,,,,,,,,
convnext,C4,C4_4bit_noise_HAT,cifar10,checkpoints/C4_4bit_noise_HAT_best.pt,197,89.91,PCM (GST),PCM (GST),50.0,32,0.03,0.08,Burr 2015; Ambrogio 2018,device_comparison,True,10,nan,45.016,44.58,45.41,0.27653410478838136,,,,,,,,,,,
convnext,C4,C4_4bit_noise_HAT,cifar10,checkpoints/C4_4bit_noise_HAT_best.pt,197,89.91,Organic Pessimistic,Organic Pessimistic,5.0,8,0.1,0.2,handbook pessimistic,device_comparison,True,10,2.5243493008422853,21.476,21.06,21.96,0.23061271045244308,,,,,,,,,,,
convnext,C4,C4_4bit_noise_HAT,cifar10,checkpoints/C4_4bit_noise_HAT_best.pt,197,89.91,Ideal,Ideal,10.0,256,0.0,0.0,theoretical upper bound,device_comparison,True,10,0.7788570200347901,84.06700000000001,83.76,84.45,0.20725990125122218,,,,,,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94,Measured Sample Profile (Suboptimal),Measured Sample Profile (Suboptimal),5.0,8,0.08,0.15,simulated_data_case_study,device_comparison,False,10,5.499494746170044,10.0,10.0,10.0,0.0,1e-07,5e-07,uniform,measured,0.14,0.61,0.6,,,fresh_resampled_per_profile,zero_shot_device_and_instance_transfer
