category	status	active_path	provenance_or_manifest	producer_or_validator	consumer_or_output	notes
paper2_107_lane	active	paper2/; paper2_aihwkit_baseline/; coordination/remote_tasks/107/	WORKSPACE_LAYOUT.md; paper2/README.md	Work-2/107 workflow	Paper2/107 KV-cache	Keep separate from Paper1 release evidence.
remote_107_tasklist	active	coordination/remote_tasks/107/REMOTE_107_PHASE_P8_CORRECTED_NOISE_WORK2_TASKLIST_20260509.md	BROADCAST.md; coordination/README.md	remote 107 dispatch	107 corrected-noise task execution	Canonical remote 107 task entrypoint.
kv_cache_code	active	paper2/src/	paper2/README.md	Work-2 implementation	analog KV-cache experiments	Includes analog_kv_cache.py, llm_hybrid.py, eval/train/smoke scripts.
kv_cache_results	mixed_active_stale	paper2/results/	paper2/README.md	Work-2 local runs	Paper2 evidence candidates	Contains JSON summaries plus many pid/exit/driver artifacts; needs future active/stale split.
kv_cache_scoped_probe_index	legacy_probe_not_claim	paper2/results/W2_SCOPED_PROBE_SUMMARY_20260425.tsv	paper2/results/w2_scoped_probe_summary_20260425.json	local Work-2 smoke/probe runs	debugging/provenance only	Small smoke text batches; source logs may be archived/remapped; do not use as final Paper2 PPL claim evidence.
aihwkit_pcm_code	active	paper2_aihwkit_baseline/*.py; paper2_aihwkit_baseline/PCM_PROTOCOL.md	paper2_aihwkit_baseline/README.md	AIHWKit/PCM baseline workflow	Paper2 baseline evidence	Not Paper1 release evidence.
aihwkit_pcm_checkpoints	protected_mixed	paper2_aihwkit_baseline/checkpoints/	paper2_aihwkit_baseline/README.md; paper2_aihwkit_baseline/checkpoints/INDEX_20260510.tsv	AIHWKit/PCM runs	Paper2 baseline evidence and invalid/superseded records	Do not move/delete without size/provenance report and approval.
aihwkit_valid_markers	active_reference	paper2_aihwkit_baseline/checkpoints/**/CURRENT_STATUS_VALID_*.md; EVAL_SUMMARY.md	checkpoint-local markers	Paper2 baseline validation	valid-result identification	Markers must be preserved.
aihwkit_invalid_markers	deprecated_reference	paper2_aihwkit_baseline/checkpoints/**/INVALID_DO_NOT_USE.md; SUPERSEDED_INVALID_MARKER_*.md	checkpoint-local markers	Paper2 baseline validation	invalid/superseded identification	Keep visibly separated; do not silently delete.
r10e_text_snippet	active	paper2/manuscript/snippets/r10e_tex_paragraph.tex	manuscripts/MANUSCRIPT_ASSET_INDEX_20260510.md	R10E AIHWKit fallback audit	Paper2 manuscript snippet	Compatibility paths: manuscripts/paper2/snippets/r10e_tex_paragraph.tex and paper2_aihwkit_baseline/r10e_tex_paragraph.tex.
remote_107_corrected_noise_report	candidate_index_not_claim_lock	coordination/remote_tasks/107/REMOTE_107_PHASE_P8_CORRECTED_NOISE_REPORT_20260510.md; paper2/results/FRESH_D2D_SUMMARY_107_20260510.tsv; paper2/results/METADATA_COMPLETENESS_107_20260510.tsv; paper2/src/aggregate_107_results.py; paper2/src/plot_107_results.py; paper2/results/fig_107_*.png; paper2/results/fig_107_*.pdf	REMOTE_107_PHASE_P8_CORRECTED_NOISE_WORK2_TASKLIST_20260509.md; remote_reviews/107/results/paper2/*.json	Remote 107 + local strict review	Paper2 evidence audit planning	Strict-review candidate index and draft audit figures only: grouped by checkpoint/exact analog layers/noise; metadata completeness table is a failure inventory, not a pass certificate; not claim-bearing because raw JSON lacks commit, command, config, dataset, eval protocol, checkpoint hash, and old-vs-corrected comparison.
future_source_data	planned	paper2/source_data/ or paper2_107/source_data/	not yet created	release-manager gated ingestion	future Paper2 figures/tables	No Work-2 JSON should enter Paper1 canonical_json without explicit release decision.
