status	family	source_path	line_range	recovered_fact	claim_lock_note
source_backed	corrected_noise_code	/home/qiaosir/projects/remote_reviews/107/p3_hat_train.py	31-130	analogize_kv_tensor maps KV to differential conductance, applies STE, D2D, C2C, retention, and recovers tensor	code path recovered; historical per-row producer SHA still absent
source_backed	d2d_seed_semantics	/home/qiaosir/projects/remote_reviews/107/p3_hat_train.py	135-180	D2D buffers generated per analog layer with seed d2d_seed + layer_idx	seed rule recovered; legacy JSON coverage incomplete
source_backed	eval_patch_path	/home/qiaosir/projects/remote_reviews/107/p3_hat_eval.py	60-100	eval loads hat_config analog_layers/d2d_seed when present and patches model before PPL eval	protocol recovered for current script, not per-row legacy proof
source_backed	metadata_patch	/home/qiaosir/projects/remote_reviews/107/coordination/REMOTE107_METADATA_PATCH_20260508.md	11-40	patched future train/eval JSON envelope includes git_commit, command, dataset fields, ctx_len, stride, batch_size	old JSONs explicitly not rewritten; current result files still legacy
family_pattern_only	d2d_seed_pipeline_matrix	/home/qiaosir/projects/remote_reviews/107/pipeline_d2d_seed.py	64-101	D2D_SEEDS=[42,123,456,789,1001], train D2D 0.02/0.04, eval D2D 0.02/0.04/0.05	launcher pattern only, not exact per-row command envelope
family_pattern_only	d2d_seed_pipeline_commands	/home/qiaosir/projects/remote_reviews/107/pipeline_d2d_seed.py	152-183	build_cmd constructs p3_hat_train.py and p3_hat_eval.py commands with max_length 512 and n_states 256	reconstructed family commands are not claim-lock sufficient
family_pattern_only	v2_pipeline_matrix	/home/qiaosir/projects/remote_reviews/107/deliverable/pipeline/pipeline_runner.py	36-146	v2 pipeline defines generalization eval, selective layers, seed repeats, and D2D sweep/convergence	launcher pattern only; no embedded command in output JSONs
family_pattern_only	v2_pipeline_commands	/home/qiaosir/projects/remote_reviews/107/deliverable/pipeline/pipeline_runner.py	203-235	build_cmd constructs p3_hat_train.py/eval commands under HAT_DIR with output OUT_DIR	reconstructed family commands are not claim-lock sufficient
source_backed	dataset_train_eval	/home/qiaosir/projects/remote_reviews/107/p3_hat_train.py	322-399	train split is wikitext-2-raw-v1 train; eval split is wikitext-2-raw-v1 test	dataset source recovered, but legacy JSONs lack embedded dataset fields
conflict	stride_protocol	multiple	p3_hat_train.py:333-399; REMOTE107_METADATA_PATCH_20260508.md:31-32; k107_plot_ready.json:1-9	code/metadata patch indicate eval stride 512, but v3 summary says canonical stride 256	must reconcile before claim lock
blocked	checkpoint_hash	/home/qiaosir/projects/compute_vit/logs/CC_107_HASH_AND_COMPARISON_SEARCH_20260510_112430.log	1-12	no checkpoint SHA-256 manifest found by bounded local search	claim lock blocked until manifest or approved safe hash procedure
blocked	legacy_json_envelope	/home/qiaosir/projects/compute_vit/logs/CC_107_JSON_COVERAGE_20260510_112148.log	1-99	all inspected result families are legacy/no metadata envelope	claim lock blocked for current JSONs
