scope	source_tex	line	environment	label	caption
thesis	thesis/cn/chapter_3_methodology.tex	43	table	tab:measurement-mapping	测量到模拟器的参数映射。文献推导配置文件与内部实测配置文件填充相同字段，因此驱动同一训练脚本。
thesis	thesis/cn/chapter_3_methodology.tex	47	tabular	eq:d2d-model
thesis	thesis/cn/chapter_3_methodology.tex	394	table	tab:cadence-comparison	三种 canonical HAT 重采样频率的结构比较。
thesis	thesis/cn/chapter_3_methodology.tex	399	tabular	alg:hat-training	HAT 训练循环（统一三种重采样频率）
thesis	thesis/cn/chapter_3_methodology.tex	565	table	tab:noise-regime-matrix	Tiny-ViT 在均匀与比例噪声下的跨体制精度矩阵。对角项为匹配体制结果；非对角项显示跨体制崩溃。
thesis	thesis/cn/chapter_3_methodology.tex	570	tabular	sec:cadence-transfer-guarantee
thesis	thesis/cn/chapter_4_benchmarks.tex	59	table	tab:resnet18-cifar10	ResNet-18 在 CIFAR-10 上的 accuracy（\%）。$\pm$ 后为蒙特卡罗标准差（10 次运行）。
thesis	thesis/cn/chapter_4_benchmarks.tex	63	tabular	tab:convnext-results	ConvNeXt-Tiny 在 CIFAR-10 与 CIFAR-100 上的 accuracy（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	96	table	tab:convnext-results	ConvNeXt-Tiny 在 CIFAR-10 与 CIFAR-100 上的 accuracy（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	100	tabular	tab:tinyvit-results	Tiny-ViT-5M 在 CIFAR-10、CIFAR-100 与 Flowers-102 上的 accuracy（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	130	table	tab:tinyvit-results	Tiny-ViT-5M 在 CIFAR-10、CIFAR-100 与 Flowers-102 上的 accuracy（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	134	tabular	tab:convnext-flowers	ConvNeXt-Tiny 在 Flowers-102 上的 accuracy（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	172	table	tab:convnext-flowers	ConvNeXt-Tiny 在 Flowers-102 上的 accuracy（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	176	tabular	tab:fresh-instance-v4	Tiny-ViT V4 在 CIFAR-10 上的 fresh-instance 评估（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	224	table	tab:fresh-instance-v4	Tiny-ViT V4 在 CIFAR-10 上的 fresh-instance 评估（\%）。
thesis	thesis/cn/chapter_4_benchmarks.tex	228	tabular	sec:pcm-benchmark	PCM 精度--保持阶梯（UnitCell 预设，3-seed 均值$\pm$标准差）。
thesis	thesis/cn/chapter_4_benchmarks.tex	282	table	tab:pcm-precision-ladder	PCM 精度--保持阶梯（UnitCell 预设，3-seed 均值$\pm$标准差）。
thesis	thesis/cn/chapter_4_benchmarks.tex	286	tabular	tab:pcm-extended	PCM 扩展验证（Batch B/C/D）。
thesis	thesis/cn/chapter_4_benchmarks.tex	313	table	tab:pcm-extended	PCM 扩展验证（Batch B/C/D）。
thesis	thesis/cn/chapter_4_benchmarks.tex	317	tabular	tab:pcm-negative	纯量化 4-bit 负面基线（全部崩溃）。
thesis	thesis/cn/chapter_4_benchmarks.tex	341	table	tab:pcm-negative	纯量化 4-bit 负面基线（全部崩溃）。
thesis	thesis/cn/chapter_4_benchmarks.tex	345	tabular
thesis	thesis/cn/chapter_5_failure_modes.tex	291	table	tab:failure_mode_cheatsheet	失效模式速查表
thesis	thesis/cn/chapter_5_failure_modes.tex	295	tabular
