scope	source_tex	line	environment	label	caption
paper1	manuscripts/paper1/src/supplementary.tex	19	table	tab:asymmetry-sensitivity	\textbf{Differential-pair asymmetry sensitivity.} Accuracy degradation under systematic branch mismatch for Tiny-ViT V4 (CIFAR-10).
paper1	manuscripts/paper1/src/supplementary.tex	23	tabular	fig:supp-asymmetry-concept	\textbf{Differential-pair asymmetry concept.} Systematic branch mismatch changes the effective differential signal; Table~\ref{tab:asymmetry-sensitivity} gives the accuracy sensitivity.
paper1	manuscripts/paper1/src/supplementary.tex	58	table	tab:nonideality-sensitivity	\textbf{Physical non-ideality sensitivity.} Accuracy degradation under IR drop and sneak-path effects for Tiny-ViT V4 (CIFAR-10).
paper1	manuscripts/paper1/src/supplementary.tex	63	tabular	fig:supp-nonideality	\textbf{Physical non-idealities in resistive arrays.} IR drop and sneak paths perturb the read conductance; Table~\ref{tab:nonideality-sensitivity} reports the first-order sensitivity probe.
paper1	manuscripts/paper1/src/supplementary.tex	103	table	tab:supp-operator-mapping	\textbf{Analog/digital operator mapping rationale.}
paper1	manuscripts/paper1/src/supplementary.tex	108	tabular	subsec:supp-weight-mapping	\textbf{Weight-to-conductance mapping pipeline.} Digital weights are quantized, mapped to differential conductance pairs, perturbed by D2D/C2C device terms, accumulated in the analog domain, digitized, and recovered with a layer-wise scale
paper1	manuscripts/paper1/src/supplementary.tex	221	table	tab:supp-notation	\textbf{Unified model notation.}
paper1	manuscripts/paper1/src/supplementary.tex	225	tabular	subsec:detailed-experiment-matrix	\textbf{Digital FP32 baselines for the evaluated backbones and datasets.}
paper1	manuscripts/paper1/src/supplementary.tex	253	table	tab:supp-fp32-baselines	\textbf{Digital FP32 baselines for the evaluated backbones and datasets.}
paper1	manuscripts/paper1/src/supplementary.tex	257	tabular	tab:supp-result-summary	\textbf{Summary of classification accuracy (\%) across architectures and physical regimes.} Cross-dataset deployment rows report locked best-checkpoint values; entries with $\pm$ denote stochastic physical-extension evaluations. \notrun{} d
paper1	manuscripts/paper1/src/supplementary.tex	267	table	tab:supp-result-summary	\textbf{Summary of classification accuracy (\%) across architectures and physical regimes.} Cross-dataset deployment rows report locked best-checkpoint values; entries with $\pm$ denote stochastic physical-extension evaluations. \notrun{} d
paper1	manuscripts/paper1/src/supplementary.tex	272	tabular	subsec:parameter-provenance	Three-seed fresh-instance reproducibility summary for the uniform-noise Ensemble HAT regime (V4).
paper1	manuscripts/paper1/src/supplementary.tex	301	table	tab:v4-three-seed-summary	Three-seed fresh-instance reproducibility summary for the uniform-noise Ensemble HAT regime (V4).
paper1	manuscripts/paper1/src/supplementary.tex	305	tabular	tab:provenance	Parameter provenance tracking matrix.
paper1	manuscripts/paper1/src/supplementary.tex	321	table	tab:provenance	Parameter provenance tracking matrix.
paper1	manuscripts/paper1/src/supplementary.tex	328	tabular	fig:supp-contour-map	\textbf{Zhang-proxy C2C/D2D sensitivity sweep.} Cells show 10-MC mean accuracy; the nominal proxy point is outlined. Accuracy is driven mainly by D2D mismatch, while C2C is flat within MC uncertainty.
paper1	manuscripts/paper1/src/supplementary.tex	366	table	tab:sensitivity	Ensemble HAT accuracy under a Zhang-proxy C2C/D2D sensitivity sweep.
paper1	manuscripts/paper1/src/supplementary.tex	371	tabular	tab:adc-nonideality	Hook-based ADC non-ideality check for the canonical Tiny-ViT V4 deployment. Offset, gain, and INL are injected at calibrated analog-layer outputs during full-test inference on CIFAR-10.
paper1	manuscripts/paper1/src/supplementary.tex	385	table	tab:adc-nonideality	Hook-based ADC non-ideality check for the canonical Tiny-ViT V4 deployment. Offset, gain, and INL are injected at calibrated analog-layer outputs during full-test inference on CIFAR-10.
paper1	manuscripts/paper1/src/supplementary.tex	389	tabular	fig:supp-sobol	Retention accuracy comparison: uniform vs. state-dependent decay.
paper1	manuscripts/paper1/src/supplementary.tex	418	table	tab:retention-comparison	Retention accuracy comparison: uniform vs. state-dependent decay.
paper1	manuscripts/paper1/src/supplementary.tex	422	tabular	tab:supp-flowers-results	Classification accuracy (\%) on Flowers-102 across physical regimes. The asterisk marks a single-run ConvNeXt boundary estimate and should not be interpreted as a stable cross-architecture baseline.
paper1	manuscripts/paper1/src/supplementary.tex	439	table	tab:supp-flowers-results	Classification accuracy (\%) on Flowers-102 across physical regimes. The asterisk marks a single-run ConvNeXt boundary estimate and should not be interpreted as a stable cross-architecture baseline.
paper1	manuscripts/paper1/src/supplementary.tex	443	tabular	subsec:supp-methods
paper1	manuscripts/paper1/src/supplementary.tex	617	table	tab:supp-frontend-gamma-scan	\textbf{ResNet-18 HAT accuracy (\%) under inverse-gamma compensation.} Each cell reports compensated / raw accuracy and the gain in percentage points.
paper1	manuscripts/paper1/src/supplementary.tex	623	tabular	note:optimal-gamma	\textbf{Impact of front-end nonlinearity and dark current.} Inverse-gamma compensation helps in dark regimes but amplifies noise elsewhere.
paper1	manuscripts/paper1/src/supplementary.tex	682	table	tab:retention-sensitivity	\textbf{Retention sensitivity to the persistent fraction $A_0$ across time scales.}
paper1	manuscripts/paper1/src/supplementary.tex	686	tabular	subsec:inorganic-comparison	\textbf{Comparison of HAT method robustness under varying weight precision and noise regimes.}
paper1	manuscripts/paper1/src/supplementary.tex	708	table	tab:aihwkit-comparison	\textbf{Comparison of HAT method robustness under varying weight precision and noise regimes.}
paper1	manuscripts/paper1/src/supplementary.tex	713	tabular	tab:pcm-comparison	\textbf{PCM vs. IdealDevice comparison.} Training-domain best accuracy and fresh-instance mean ($\pm$ std) for AIHWKit IdealDevice and PCM device models, contrasted with Ensemble HAT. Drift impact reports accuracy excursion across 0~s, 1~h,
paper1	manuscripts/paper1/src/supplementary.tex	725	table	tab:pcm-comparison	\textbf{PCM vs. IdealDevice comparison.} Training-domain best accuracy and fresh-instance mean ($\pm$ std) for AIHWKit IdealDevice and PCM device models, contrasted with Ensemble HAT. Drift impact reports accuracy excursion across 0~s, 1~h,
paper1	manuscripts/paper1/src/supplementary.tex	731	tabular	subsec:parameter-risk-matrix	\textbf{Core Parameter Risk and Robustness Assessment.}
paper1	manuscripts/paper1/src/supplementary.tex	762	table	tab:parameter-risk	\textbf{Core Parameter Risk and Robustness Assessment.}
paper1	manuscripts/paper1/src/supplementary.tex	767	tabular	fig:supp-nl-gradient	\textbf{Group-wise gradient distortion under severe nonlinear write.} Frozen-checkpoint diagnostics compare \texttt{NL=1.0} with group-local \texttt{NL=2.0}; only the backward surrogate changes.
paper1	manuscripts/paper1/src/supplementary.tex	795	table	tab:supp-nl-ablation	\textbf{Group-wise nonlinearity ablation under global $NL=2.0$.} Rows report best/final test accuracy when one group is protected at $NL=1.0$. $^\dagger$ and $^\ddagger$ mark earlier diagnostics retained only as source-domain gradient evide
paper1	manuscripts/paper1/src/supplementary.tex	801	tabular	tab:r10d-nl-interpolation	\textbf{Intermediate nonlinearity interpolation (R10D).} Rows report source-domain best and fresh-instance accuracy for seed~123 at intermediate $NL$ values; canonical endpoints use the locked aggregate values.
paper1	manuscripts/paper1/src/supplementary.tex	817	table	tab:r10d-nl-interpolation	\textbf{Intermediate nonlinearity interpolation (R10D).} Rows report source-domain best and fresh-instance accuracy for seed~123 at intermediate $NL$ values; canonical endpoints use the locked aggregate values.
paper1	manuscripts/paper1/src/supplementary.tex	822	tabular	fig:supp-corr-d2d	\textbf{Spatially correlated D2D mismatch.} Error bars show 10-array fresh-instance spread. Correlation degrades accuracy but preserves the ranking above the Standard-HAT collapse baseline.
paper1	manuscripts/paper1/src/supplementary.tex	891	table	tab:supp_8bit_pcm	\textbf{8-bit PCM UnitCell.} 3-seed Mean: 77.64\%, Fresh: 77.60\%, Drop: 0.04~pp.
paper1	manuscripts/paper1/src/supplementary.tex	895	tabular	tab:supp_6bit_pcm	\textbf{6-bit PCM UnitCell, corrected new protocol.} Four-seed fresh mean: 68.44\% with 6.03~pp seed-to-seed standard deviation. The completed 24~h drift closure gives a mean drift drop of 0.04~pp, confirming that the corrected 6-bit regime
paper1	manuscripts/paper1/src/supplementary.tex	906	table	tab:supp_6bit_pcm	\textbf{6-bit PCM UnitCell, corrected new protocol.} Four-seed fresh mean: 68.44\% with 6.03~pp seed-to-seed standard deviation. The completed 24~h drift closure gives a mean drift drop of 0.04~pp, confirming that the corrected 6-bit regime
paper1	manuscripts/paper1/src/supplementary.tex	910	tabular	tab:supp_4bit_pcm	\textbf{4-bit PCM UnitCell.} 3-seed Mean: 76.71\%, Fresh: 76.68\%, Drop: 4.01~pp.
